;municipio;getulio_vargas;cristiano_machado;eduardo_gomes;joao_mangabeira;brancos_presidente;nulos_presidente;votantes;eleitores;pgetulio;pcristiano;peduardo;pjoao;pnulo;pbrancos;Urban_Tax_1950;Pop_Resid_1950;Pop.Urban_1950;PIB_Capt_1950;Pib_Mun_1949;Pib_Ind_1949;Pib_Agro_1949;Pib_Ser_1949;Alistados1949/Pop-1950
3126109;Formiga;3009;2730;4578;0;291;209;10817;13737;0,278173246;0,252380512;0,423222705;0;0,019321438;0,026902099;0,298241923;33275;9924;3,367408327;33418,16024;5136,185134;11910,2893;16371,6858;0,28324568
3127107;Frutal;1205;1375;1360;2;106;46;4094;5833;0,29433317;0,335857352;0,332193454;0,00048852;0,011235955;0,025891549;0,119496855;17808;2128;8,780100087;18684,05299;1080,157216;10943,41482;6660,480954;0,276898023
3127701;Governador Valadares;4061;651;2845;0;141;824;8522;14771;0,476531331;0,076390519;0,333841821;0;0,096690918;0,016545412;0,226303356;60958;13795;5,380467955;74223,55544;13519,96122;24532,55065;36171,04357;0,34085764
3127800;Grão Mogol;225;1681;3037;0;103;214;5260;8495;0,042775665;0,319581749;0,577376426;0;0,040684411;0,019581749;0,053507401;32631;1746;4,250978479;7422,208425;11,86551317;7173,951741;236,3911706;0,196009929
3128006;Guanhães;859;1636;1566;0;93;199;4353;6207;0,197335171;0,375832759;0,359751895;0;0,045715598;0,021364576;0,134117246;35208;4722;4,113538035;19424,1266;350,8236727;10924,1965;8149,106433;0,27877187
3128303;Guaranésia;1041;136;849;0;68;24;2118;3604;0,491501416;0,06421152;0,400849858;0;0,011331445;0,03210576;0,321116688;14543;4670;4,37918512;20450,79451;4840,338339;10221,37638;5389,079794;0,194526576
3128709;Guaxupé;2143;1116;734;0;91;48;4132;6069;0,518635044;0,270087125;0,177637948;0;0,011616651;0,022023233;0,483514707;18562;8975;3,888004565;34894,84097;4839,151788;10636,47397;19419,21521;0,262148475
3131208;Ipanema;967;1616;1898;0;141;73;4695;8869;0,205963791;0,344195953;0,404259851;0;0,015548456;0,030031949;0,129067164;26800;3459;8,502386309;29409,75424;822,6755798;25434,13157;3152,947099;0,49141791
3131901;Itabirito;1975;405;871;0;80;90;3421;5021;0,577316574;0,118386437;0,254603917;0;0,026308097;0,023384975;0,559048362;12820;7167;4,12692603;29577,67886;19455,88195;861,0130815;9260,78383;0,367082683
3132404;Itajubá;4748;1809;2060;0;102;361;9080;12164;0,522907489;0,199229075;0,226872247;0;0,039757709;0,01123348;0,109106635;40465;4415;14,44584276;63778,39578;14525,76122;12084,9147;37167,71986;0,253008773
3132503;Itamarandiba;222;257;1027;0;36;52;1594;2612;0,139272271;0,161229611;0,644291092;0;0,032622334;0,022584693;0,095468177;30010;2865;4,709565409;13492,9049;179,9602831;12360,99098;951,9536328;0,078973675
3133105;Itanhandú;1023;603;1184;4;86;27;2927;3787;0,349504612;0,206012983;0,404509737;0,001366587;0,009224462;0,029381619;0,436453051;6507;2840;3,388647402;9623,758621;3370,992292;2512,035779;3740,73055;0,499615798
3133501;Itapecerica;249;3318;2418;0;108;34;6127;8973;0,040639791;0,541537457;0,394646646;0;0,005549208;0,017626897;0,168978316;35833;6055;4,086429202;24743,32882;2263,544396;15950,27695;6529,507468;0,224402087
3133808;Itaúna;2452;1227;2433;3;160;70;6345;8547;0,38644602;0,193380615;0,383451537;0,000472813;0,011032309;0,025216706;0,133966068;23812;3190;10,15721598;32401,51899;11310,60267;6706,194142;14384,72218;0,287754074
3134202;Ituiutaba;3097;1065;1737;0;224;85;6208;9586;0,498872423;0,171552835;0,279800258;0;0,01369201;0,036082474;0,083987651;52472;4407;25,08221925;110537,3402;5269,078882;66218,99556;39049,26579;0,104131727
3134806;Jacuí;463;1151;1310;0;79;0;3003;4782;0,154179154;0,383283383;0,436230436;0;0;0,026307026;0,097894138;10542;1032;5,984753237;6176,26534;226,2357844;4895,852714;1054,176842;0,346803263
3134905;Jacutinga;595;1373;1820;0;65;108;3961;5029;0,150214592;0,346629639;0,459479929;0;0,027265842;0,016409997;0,208678077;15833;3304;7,877561864;26027,4644;3130,517891;13616,99583;9279,950682;0,223394177
3135209;Januária;735;3562;1247;16;168;47;5775;10323;0,127272727;0,616796537;0,215930736;0,002770563;0,008138528;0,029090909;0,169647882;49756;8441;1,978976406;16704,53985;770,0718048;9641,351745;6293,116297;0,137852721
3135803;Jequitinhonha;225;1196;2212;0;37;28;3698;4975;0,060843699;0,323418064;0,598161168;0;0,00757166;0,010005408;0,163108951;18926;3087;1,817799038;5611,54563;44,69343294;3289,191325;2277,660873;0,197506076
